democratic_house_seats,democratic_aligned_senate_seats,open_simulation_count,calibrated_probability,overall_dem_to_gop_percentile,house_vs_senate_tilt_percentile
240,47,3,0.00027505,69.849,98.286
241,47,4,0.00015374,69.034,98.464
242,47,4,0.00015424,67.565,98.625
243,47,3,0.00009154,66.306,98.824
244,47,1,0.00034123,64.87,98.95
245,47,4,0.00016525,63.343,99.195
247,47,1,0.00005358,60.821,99.372
250,47,1,0.00001679,56.132,99.588
252,47,1,0.00001009,53.73,99.736
258,47,1,0.00003045,44.92,99.873
260,47,2,0.00005138,41.923,99.887
187,48,1,0.00002043,98.339,1.063
189,48,1,0.0000163,98.077,1.498
192,48,1,0.00002043,97.66,3.241
193,48,1,0.0000163,97.483,4.168
194,48,1,0.00000722,97.276,4.817
195,48,1,0.0000163,97.04,5.877
196,48,3,0.00005304,96.84,7.039
197,48,6,0.00024384,96.591,7.843
198,48,10,0.00033427,96.353,8.949
199,48,7,0.00021543,96.064,10.119
200,48,13,0.00039534,95.737,11.438
201,48,12,0.00026679,95.407,13.268
202,48,23,0.00080257,95.055,15.126
203,48,23,0.00071559,94.758,17.163
204,48,13,0.0002989,94.386,19.284
205,48,41,0.00122166,93.868,21.938
206,48,37,0.00081926,93.444,24.204
207,48,41,0.00104482,92.98,26.979
208,48,42,0.00113385,92.526,29.839
209,48,44,0.00132426,91.98,33.258
210,48,36,0.002942,91.392,35.914
211,48,51,0.00367994,90.709,38.191
212,48,45,0.00303942,90.03,42.043
213,48,54,0.00309771,89.413,45.279
214,48,56,0.00387158,88.771,48.463
215,48,44,0.00303844,87.997,51.866
216,48,42,0.00291784,87.157,55.259
217,48,46,0.00220179,86.432,58.272
218,48,41,0.0041042,85.545,61.302
